Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2013,2332C0,Transportation structures and highways and streets,carbon dioxide,"kg/2018 USD, purchaser price",0.487,0.0,0.487,4,3,1,4,1
2013,2332C0,Transportation structures and highways and streets,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,3,1,1,1
2013,2332C0,Transportation structures and highways and streets,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,3,1,3,1
2013,2332C0,Transportation structures and highways and streets,other GHGs,"kg CO2e/2018 USD, purchaser price",0.012,0.0,0.012,4,3,1,5,1
2013,2332D0,Other nonresidential structures,carbon dioxide,"kg/2018 USD, purchaser price",0.44,0.0,0.44,3,3,1,4,1
2013,2332D0,Other nonresidential structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,1,1
2013,2332D0,Other nonresidential structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,3,1,3,1
2013,2332D0,Other nonresidential structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.019,0.0,0.019,4,3,1,5,1
2013,233411,Single-family residential structures,carbon dioxide,"kg/2018 USD, purchaser price",0.241,0.0,0.241,3,3,1,3,1
2013,233411,Single-family residential structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,3,3,1,1,1
2013,233411,Single-family residential structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,3,1,3,1
2013,233411,Single-family residential structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.012,0.0,0.012,4,3,1,5,1
2013,233412,Multifamily residential structures,carbon dioxide,"kg/2018 USD, purchaser price",0.134,0.0,0.134,3,3,1,3,1
2013,233412,Multifamily residential structures,methane,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,3,1,1,1
2013,233412,Multifamily residential structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,3,1,3,1
2013,233412,Multifamily residential structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0.0,0.007,4,3,1,5,1
2013,2334A0,Other residential structures,carbon dioxide,"kg/2018 USD, purchaser price",0.369,0.0,0.369,3,3,1,4,1
2013,2334A0,Other residential structures,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,1,1
2013,2334A0,Other residential structures,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,3,1,3,1
2013,2334A0,Other residential structures,other GHGs,"kg CO2e/2018 USD, purchaser price",0.023,0.0,0.023,4,3,1,5,1
2013,311111,Dog and cat food manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.461,0.022,0.483,3,3,1,4,1
2013,311111,Dog and cat food manufacturing,methane,"kg/2018 USD, purchaser price",0.007,0.0,0.007,3,3,1,1,1
2013,311111,Dog and cat food manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,4,1
2013,311111,Dog and cat food manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0.0,0.011,3,3,1,3,1
2013,311119,Other animal food manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.533,0.032,0.565,4,3,1,4,1
2013,311119,Other animal food manufacturing,methane,"kg/2018 USD, purchaser price",0.004,0.0,0.004,3,3,1,1,1
2013,311119,Other animal food manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,3,1,4,1
2013,311119,Other animal food manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,3,1,4,1
2013,311210,Flour milling and malt manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.75,0.017,0.767,3,3,1,4,1
2013,311210,Flour milling and malt manufacturing,methane,"kg/2018 USD, purchaser price",0.005,0.0,0.005,3,3,1,1,1
2013,311210,Flour milling and malt manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.003,0.0,0.003,4,3,1,4,1
2013,311210,Flour milling and malt manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,3,1,4,1
2013,311221,Wet corn milling,carbon dioxide,"kg/2018 USD, purchaser price",0.986,0.04,1.026,4,3,1,4,1
2013,311221,Wet corn milling,methane,"kg/2018 USD, purchaser price",0.004,0.0,0.004,3,3,1,1,1
2013,311221,Wet corn milling,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,3,1,4,1
2013,311221,Wet corn milling,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,3,1,4,1
2013,311224,Soybean and other oilseed processing,carbon dioxide,"kg/2018 USD, purchaser price",0.189,0.125,0.314,4,3,1,4,1
2013,311224,Soybean and other oilseed processing,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,1,1
2013,311224,Soybean and other oilseed processing,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.001,4,3,1,4,1
2013,311224,Soybean and other oilseed processing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,3,1,4,1
2013,311225,Fats and oils refining and blending,carbon dioxide,"kg/2018 USD, purchaser price",0.589,0.003,0.592,4,3,1,4,1
2013,311225,Fats and oils refining and blending,methane,"kg/2018 USD, purchaser price",0.003,0.0,0.003,3,3,1,1,1
2013,311225,Fats and oils refining and blending,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,4,1
2013,311225,Fats and oils refining and blending,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0.0,0.005,4,3,1,4,1
2013,311230,Breakfast cereal manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.466,0.021,0.487,3,3,1,4,1
2013,311230,Breakfast cereal manufacturing,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,3,3,1,1,1
2013,311230,Breakfast cereal manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,3,1,4,1
