Year,Industry Code,Industry Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
2014,484,Truck transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,3,1
2014,484,Truck transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.02,0.0,0.02,4,2,1,5,1
2014,485,Transit and ground passenger transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.134,0.0,0.134,3,2,1,3,1
2014,485,Transit and ground passenger transportation,methane,"kg/2018 USD, purchaser price",0.001,0.0,0.001,4,2,1,1,1
2014,485,Transit and ground passenger transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2014,485,Transit and ground passenger transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0.0,0.007,4,2,1,5,1
2014,486,Pipeline transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.119,0.0,1.119,4,2,1,1,1
2014,486,Pipeline transportation,methane,"kg/2018 USD, purchaser price",0.031,0.0,0.031,4,2,1,1,1
2014,486,Pipeline transportation,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,3,2,1,3,1
2014,486,Pipeline transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.012,0.0,0.012,4,2,1,5,1
2014,487OS,Other transportation and support activities,carbon dioxide,"kg/2018 USD, purchaser price",0.341,0.0,0.341,4,2,1,3,1
2014,487OS,Other transportation and support activities,methane,"kg/2018 USD, purchaser price",0.002,0.0,0.002,4,2,1,2,1
2014,487OS,Other transportation and support activities,nitrous oxide,"kg/2018 USD, purchaser price",0.0,0.0,0.0,4,2,1,4,1
2014,487OS,Other transportation and support activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0.0,0.004,4,2,1,4,1
2014,493,Warehousing and storage,carbon dioxide,"kg/2018 USD, purchaser price",0.528,0.0,0.528,2,2,1,2,1
